source_row,item_code,source_name,source_category,source_jp_size,quantity,mapped_family,age,candidate_season,candidate_brand,candidate_size,tier_status,store_status,bsl_status,importable,blocking_reason
77,L41681700,SNOW BOOTS PROJECT BOA Black/Black/White,子供ボードブーツ,19.5,10,SNOWBOARD_BOOT,KIDS,2026/27,SALOMON,19.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
78,L41681700,SNOW BOOTS PROJECT BOA Black/Black/White,子供ボードブーツ,20.5,15,SNOWBOARD_BOOT,KIDS,2026/27,SALOMON,20.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
79,L41681700,SNOW BOOTS PROJECT BOA Black/Black/White,子供ボードブーツ,21.5,20,SNOWBOARD_BOOT,KIDS,2026/27,SALOMON,21.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
80,L41681700,SNOW BOOTS PROJECT BOA Black/Black/White,子供ボードブーツ,22.5,20,SNOWBOARD_BOOT,KIDS,2026/27,SALOMON,22.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
81,L41681700,SNOW BOOTS PROJECT BOA Black/Black/White,子供ボードブーツ,23.5,15,SNOWBOARD_BOOT,KIDS,2026/27,SALOMON,23.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
82,L41681700,SNOW BOOTS PROJECT BOA Black/Black/White,子供ボードブーツ,24.5,10,SNOWBOARD_BOOT,KIDS,2026/27,SALOMON,24.5,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
83,L47669000,BOARD BIND. THE FUTURE Black,ボードバイン,XS/S,75,UNSUPPORTED_BINDING_PENDING_MODEL,ADULT,2026/27,SALOMON,XS/S,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,NO,UNSUPPORTED_BINDING_PENDING_MODEL|TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
84,L47924300,BOARD TEAM,キッズボード,90,5,SNOWBOARD,KIDS,2026/27,SALOMON,90,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
85,L41685300,SNOW BOOTS WHIPSTAR Black/Black/White,キッズボードブーツ,17,4,SNOWBOARD_BOOT,KIDS,2026/27,SALOMON,17,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
86,L41685300,SNOW BOOTS WHIPSTAR Black/Black/White,キッズボードブーツ,18,4,SNOWBOARD_BOOT,KIDS,2026/27,SALOMON,18,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,PENDING_OWNER_DECISIONS,TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
87,L47337200,BOARD BIND. GOODTIME XS BLACK,ボードバイン,XS,4,UNSUPPORTED_BINDING_PENDING_MODEL,ADULT,2026/27,SALOMON,XS,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,NO,UNSUPPORTED_BINDING_PENDING_MODEL|TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
88,L47944400,BOARD BIND. GOODTIME XXS,ボードバイン,XXS,4,UNSUPPORTED_BINDING_PENDING_MODEL,ADULT,2026/27,SALOMON,XXS,OWNER_MAPPING_REQUIRED,OWNER_ALLOCATION_REQUIRED,NOT_APPLICABLE,NO,UNSUPPORTED_BINDING_PENDING_MODEL|TIER_OWNER_MAPPING_REQUIRED|STORE_OWNER_ALLOCATION_REQUIRED
